Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.0934574 0.0559156 11.0049 0.000636239 0.65748 0.000146753 4896.71 0.122941 131.38 0.357989
4 -0.0266972 0.0660976 11.0049 0.000636239 0.638831 0.000120897 4896.56 0.10128 132.853 0.35853
5 -0.0352965 0.0375227 11.0049 0.000636239 0.627325 0.00011709 4896.82 0.0980905 133.879 0.291339
6 -0.00535964 0.00925765 11.0049 0.000636239 0.624953 0.000140727 4896.4 0.117892 134.01 0.290244
7 -0.0855118 0.0742484 11.0049 0.000636239 0.637884 0.000133376 4896.84 0.111734 133.07 0.319059
8 0.0729922 0.0516334 11.0049 0.000636239 0.656868 0.000144742 4896.82 0.121256 130.22 2.21102
9 -0.0141047 0.00166777 11.0049 0.000636239 0.622437 0.000123753 4896.33 0.103672 133.904 0.331788
10 0.0768188 0.0118884 11.0049 0.000636239 0.610841 0.00010479 4896.84 0.0877862 135.19 0.298905
11 0.0408698 0.0775385 11.0049 0.000636239 0.608891 9.94045e-05 4897.15 0.0832749 135.234 0.17982
12 0.0168761 0.000176126 11.0049 0.000636239 0.610848 0.000109961 4897.09 0.0921185 135.27 0.333605
13 -0.0359973 0.0270808 11.0049 0.000636239 0.634543 0.000109252 4897.11 0.0915249 133.832 0.372937
14 0.0569431 0.01756 11.0049 0.000636239 0.609963 0.000121064 4896.85 0.10142 135.291 0.290178
15 0.0580276 0.0231468 11.0049 0.000636239 0.593249 0.000101363 4896.82 0.0849153 136.865 0.392627
16 0.00213241 0.0708738 11.0049 0.000636239 0.590702 0.000120916 4896.96 0.101296 137.484 0.39279
17 -0.0295485 0.0662615 11.0049 0.000636239 0.593694 8.88292e-05 4896.73 0.0744156 137.037 0.38775
18 0.0616565 0.0522761 11.0049 0.000636239 0.603824 9.85362e-05 4896.66 0.0825475 135.969 0.396281
19 -0.120997 0.0378509 11.0049 0.000636239 0.594857 0.000106976 4896.65 0.0896177 137.03 0.328031
20 -0.0480269 0.0350692 11.0049 0.000636239 0.581521 9.29487e-05 4896.56 0.0778667 138.599 0.418032
21 -0.0171314 0.0774807 11.0049 0.000636239 0.574757 9.27204e-05 4896.72 0.0776754 139.398 0.396596
22 0.0817718 0.0177244 11.0049 0.000636239 0.581136 0.000100801 4896.67 0.0844448 138.785 0.359601
23 -0.0226784 0.0246723 11.0049 0.000636239 0.566794 9.83767e-05 4896.6 0.0824139 139.757 0.466718
24 0.00133781 0.0820521 11.0049 0.000636239 0.559605 9.70567e-05 4896.78 0.0813081 141.246 0.399788
25 -0.0583285 0.00110281 11.0049 0.000636239 0.563707 8.81294e-05 4897.03 0.0738294 141.298 0.371807
26 -0.00272881 0.00512735 11.0049 0.000636239 0.566474 9.11761e-05 4897.74 0.0763817 139.336 1.07327
27 -0.0112172 0.00343019 11.0049 0.000636239 0.554688 9.74628e-05 4896.66 0.0816483 141.748 0.37771
28 -0.135807 0.0153997 11.0049 0.000636239 0.54782 8.84032e-05 4896.94 0.0740587 143.137 0.469097
29 -0.150149 0.0142591 11.0049 0.000636239 0.549691 8.17333e-05 4896.73 0.0684711 143.335 0.390193
30 0.00955569 0.0585875 11.0049 0.000636239 0.554795 8.28655e-05 4896.81 0.0694196 141.993 0.449807
31 0.142149 0.0499447 11.0049 0.000636239 0.529923 8.52311e-05 4896.34 0.0714013 145.053 0.390496
32 0.0142646 0.0284965 11.0049 0.000636239 0.528412 8.43433e-05 4899.14 0.0706576 136.684 9.61297
33 0.0555441 0.00491129 11.0049 0.000636239 0.530681 8.81325e-05 4896.69 0.0738319 145.249 0.456127
34 0.0271431 0.00994585 11.0049 0.000636239 0.51826 8.60406e-05 4896.64 0.0720795 147.18 0.521927
35 -0.056123 0.00121628 11.0049 0.000636239 0.519033 7.96459e-05 4897.07 0.0667224 148.013 0.562452
36 -0.000485706 0.0309781 11.0049 0.000636239 0.517955 9.32892e-05 4896.69 0.0781519 147.437 0.461673
37 -0.00614271 0.0600291 11.0049 0.000636239 0.507698 9.73224e-05 4896.7 0.0815307 149.33 0.69673
38 -0.0266507 0.017594 11.0049 0.000636239 0.503838 7.39372e-05 4896.86 0.06194 150.63 0.606768
39 0.0643298 0.046165 11.0049 0.000636239 0.509917 8.10522e-05 4896.72 0.0679005 149.587 0.562343
40 -0.00451292 0.0449944 11.0049 0.000636239 0.490388 6.96096e-05 4896.77 0.0583146 144.478 14.9974
41 -0.0190319 0.000606973 11.0049 0.000636239 0.488345 7.10371e-05 4899.99 0.0595104 144.99 3.69116e-10
42 0.0660233 0.044453 11.0049 0.000636239 0.472215 7.24264e-05 4899.64 0.0606744 148.578 0.694937
43 -0.059571 0.0703523 11.0049 0.000636239 0.477167 7.01586e-05 4900.56 0.0587745 146.194 4.94106e-10
44 -0.0958013 0.00533095 11.0049 0.000636239 0.459148 7.05867e-05 4896.5 0.0591331 162.372 0.887578
45 -0.0158031 0.0291869 11.0049 0.000636239 0.470119 7.6079e-05 4896.84 0.0637342 158.973 0.698962
46 -0.120844 0.00228337 11.0049 0.000636239 0.447758 9.07649e-05 4896.31 0.0760372 165.52 1.26208
47 -0.977986 0.230406 11.0049 0.000636239 0.680156 0.000152336 4897.17 0.127618 131.285 0.334574
48 -0.234934 0.0678416 11.0049 0.000636239 0.638052 0.000131727 4896.69 0.110353 133.184 0.298208
49 -0.089613 0.0257033 11.0049 0.000636239 0.628877 0.000123647 4898.53 0.103584 119.632 11.4767
50 -0.258645 0.0269665 11.0049 0.000636239 0.632121 0.000122969 4897.06 0.103015 133.713 0.35805
51 -0.250182 0.021056 11.0049 0.000636239 0.639799 0.00012952 4896.88 0.108504 132.818 0.381731
52 -10.233 3.55356 11.0049 0.000636239 0.966188 0.000158379 4893.09 0.13268 125.377 0.354587
53 -0.395466 0.0584819 11.0049 0.000636239 0.631167 0.000127503 4896.58 0.106814 133.942 0.30871
54 -0.228386 0.0839398 11.0049 0.000636239 0.613871 0.000114272 4896.73 0.0957301 135.265 0.344139
55 -3.91 3.55083 11.0049 0.000636239 0.723254 0.00010252 4898.89 0.0858851 133.266 0.34193
56 -0.111517 0.00562985 11.0049 0.000636239 0.608027 0.000118405 4899.79 0.0991925 128.406 2.41268
57 -0.238651 0.00778103 11.0049 0.000636239 0.630404 0.000118063 4896.81 0.0989061 133.652 0.353546
58 -0.325001 0.123871 11.0049 0.000636239 0.614885 0.000115196 4896.71 0.0965044 135.553 0.329402
59 -0.206905 0.0575747 11.0049 0.000636239 0.598754 0.000103784 4896.6 0.086944 136.971 0.38529
60 -0.0679267 0.0079254 11.0049 0.000636239 0.59668 9.94021e-05 4897.1 0.0832729 137.367 0.423333
61 -0.0657396 0.0172883 11.0049 0.000636239 0.597211 0.000106564 4896.91 0.0892729 136.803 0.410819
62 -0.107371 0.101786 11.0049 0.000636239 0.613121 0.000122706 4895.96 0.102796 135.479 0.381879
63 -0.24238 0.0106654 11.0049 0.000636239 0.592047 0.000107859 4896.61 0.0903575 137.424 0.348133
64 -0.148934 0.0103175 11.0049 0.000636239 0.574115 0.000116383 4896.66 0.0974983 139.14 0.446745
65 -0.180147 0.0163118 11.0049 0.000636239 0.580671 0.000109937 4896.92 0.0920984 137.531 3.24456
66 -0.134493 0.0480894 11.0049 0.000636239 0.583645 9.68778e-05 4896.98 0.0811582 138.666 0.434188
67 -0.141661 0.0126147 11.0049 0.000636239 0.567895 9.66589e-05 4896.57 0.0809749 140.121 0.423099
68 -0.2019 0.0539362 11.0049 0.000636239 0.564126 9.37214e-05 4896.69 0.078514 141.251 0.429568
69 -0.186161 0.0111624 11.0049 0.000636239 0.564053 8.95983e-05 4896.73 0.0750599 141.16 0.443796
70 -0.180009 0.00941664 11.0049 0.000636239 0.571322 0.000253465 4897.04 0.212337 139.556 0.249524
71 -0.153508 0.0272909 11.0049 0.000636239 0.55011 9.21911e-05 4896.41 0.077232 142.337 0.460688
72 -0.161928 0.0117698 11.0049 0.000636239 0.542558 9.19062e-05 4896.74 0.0769933 143.608 0.457924
73 -0.181702 0.011663 11.0049 0.000636239 0.548721 0.000110679 4897.02 0.0927202 143.423 0.341144
74 -0.224473 0.0701416 11.0049 0.000636239 0.559299 9.22568e-05 4897.02 0.077287 141.761 0.433605
75 -0.145222 0.0514489 11.0049 0.000636239 0.530366 8.69965e-05 4896.68 0.0728803 145.228 0.494313
76 -0.174678 0.0104858 11.0049 0.000636239 0.532006 8.74755e-05 4896.93 0.0732816 145.899 0.561534
77 -0.219877 0.0388995 11.0049 0.000636239 0.540322 8.8424e-05 4896.67 0.0740762 144.841 0.403556
78 -0.139981 0.00475751 11.0049 0.000636239 0.51406 8.34016e-05 4896.44 0.0698687 147.749 0.395767
79 -0.199146 0.0388765 11.0049 0.000636239 0.516073 7.911e-05 4896.7 0.0662735 148.432 0.509966
80 -0.227715 0.0409766 11.0049 0.000636239 0.523563 8.32326e-05 4896.97 0.0697271 135.284 20.865
81 -0.417332 0.109321 11.0049 0.000636239 0.509796 8.03605e-05 4896.95 0.0673211 149.404 0.0160139
82 -0.263502 0.0166997 11.0049 0.000636239 0.502766 7.67487e-05 4896.81 0.0642953 150.922 0.558493
83 -0.326274 0.0568459 11.0049 0.000636239 0.510634 8.10516e-05 4897.07 0.0679 149.579 0.551562
84 -0.183891 0.00396775 11.0049 0.000636239 0.487361 7.15381e-05 4896.36 0.0599302 153.479 0.654027
85 -0.338715 0.0967078 11.0049 0.000636239 0.497223 7.69209e-05 4897.09 0.0644396 143.646 16.357
