E(MeV)  pendfb7/In115:1
1e-11  9839.66641
1.02999e-11  9695.36824
1.06087e-11  9553.23082
1.09269e-11  9413.11238
1.12544e-11  9275.13461
1.1592e-11  9139.10174
1.19395e-11  9005.135
1.22976e-11  8873.06262
1.26662e-11  8742.99632
1.30462e-11  8614.75247
1.34372e-11  8488.48973
1.38403e-11  8363.98461
1.42552e-11  8241.39304
1.46827e-11  8120.5275
1.51229e-11  8001.49057
1.55765e-11  7884.12618
1.60434e-11  7768.5729
1.65246e-11  7654.63361
1.70199e-11  7542.4367
1.75304e-11  7431.82435
1.80559e-11  7322.88458
1.85975e-11  7215.48648
1.9155e-11  7109.72485
1.97295e-11  7005.45756
2.03209e-11  6902.77147
2.09305e-11  6801.52798
2.15579e-11  6701.84376
2.22045e-11  6603.55258
2.28701e-11  6506.76632
2.35561e-11  6411.33404
2.42622e-11  6317.36887
2.49899e-11  6224.72141
2.5739e-11  6133.48607
2.6511e-11  6043.53896
2.73057e-11  5954.95741
2.81247e-11  5867.63063
2.89678e-11  5781.62702
2.98367e-11  5696.83706
3.07311e-11  5613.34361
3.16528e-11  5531.02662
3.26017e-11  5449.96026
3.35795e-11  5370.03955
3.45861e-11  5291.33437
3.56235e-11  5213.73889
3.57738e-11  5202.9829
3.66913e-11  5137.32801
3.70024e-11  5116.03187
3.77919e-11  5061.99093
3.82731e-11  5030.47671
3.89247e-11  4987.80577
3.95875e-11  4946.28307
4.00923e-11  4914.66081
4.0947e-11  4863.4378
4.12941e-11  4842.63717
4.23531e-11  4781.91879
4.25327e-11  4771.62201
4.38076e-11  4701.69553
4.51216e-11  4632.75124
4.5312e-11  4623.19378
4.64742e-11  4564.85913
4.68681e-11  4545.94307
4.78681e-11  4497.92387
4.84777e-11  4469.91885
4.9303e-11  4432.00719
5.01425e-11  4395.11431
5.07818e-11  4367.02139
5.18644e-11  4321.50786
5.23041e-11  4303.02371
5.36455e-11  4249.07405
5.38729e-11  4239.92888
5.54878e-11  4177.79616
5.71521e-11  4116.53994
5.73933e-11  4108.04653
5.88653e-11  4056.2164
5.93643e-11  4039.4075
6.0631e-11  3996.74142
6.1403e-11  3971.86332
6.24484e-11  3938.17707
6.35117e-11  3905.39861
6.43215e-11  3880.43651
6.56928e-11  3839.9949
6.62496e-11  3823.57516
6.79488e-11  3775.63827
6.82368e-11  3767.51391
7.02822e-11  3712.31065
7.23903e-11  3657.88365
7.26958e-11  3650.33775
7.45603e-11  3604.28745
7.51923e-11  3589.35352
7.67967e-11  3551.44469
7.77745e-11  3529.3416
7.90987e-11  3499.41019
8.04454e-11  3470.28879
8.14712e-11  3448.1081
8.32081e-11  3412.17688
8.39134e-11  3397.58732
8.60656e-11  3354.99645
8.64304e-11  3347.77773
8.90212e-11  3298.73
9.16913e-11  3250.37299
9.20783e-11  3243.66773
9.44399e-11  3202.75281
9.52404e-11  3189.48442
9.72725e-11  3155.80437
9.85112e-11  3136.1606
1.00188e-10  3109.57106
1.01894e-10  3083.69669
1.03193e-10  3063.99647
1.05393e-10  3032.07445
1.06287e-10  3019.10335
1.09013e-10  2981.26015
1.09475e-10  2974.84693
1.12756e-10  2931.27081
1.16139e-10  2888.30009
1.16629e-10  2882.34506
1.1962e-10  2845.99749
1.20634e-10  2834.20783
1.23208e-10  2804.28221
1.24777e-10  2786.83091
1.26901e-10  2763.20813
1.29062e-10  2740.21567
1.30707e-10  2722.71444
1.33494e-10  2694.3504
1.34626e-10  2682.83047
1.38078e-10  2649.2139
1.38664e-10  2643.50763
1.4282e-10  2604.79436
1.47104e-10  2566.62107
1.47725e-10  2561.32647
1.51513e-10  2529.03236
1.52798e-10  2518.55397
1.56058e-10  2491.97239
1.58045e-10  2476.47048
1.60736e-10  2455.47764
1.64166e-10  2429.87911
1.65557e-10  2419.49864
1.7052e-10  2384.06556
1.75635e-10  2349.13118
1.77123e-10  2339.40777
1.80899e-10  2314.73509
1.83979e-10  2295.48496
1.86325e-10  2280.8234
1.91104e-10  2252.24911
1.91911e-10  2247.42428
1.97667e-10  2214.49815
1.98501e-10  2209.93406
2.03592e-10  2182.07538
2.06188e-10  2168.48609
2.09699e-10  2150.10832
2.14169e-10  2127.72398
2.15985e-10  2118.63065
2.22463e-10  2087.59628
2.29132e-10  2057.03502
2.31074e-10  2048.52038
2.36004e-10  2026.90643
2.40023e-10  2010.05069
2.43079e-10  1997.23466
2.49313e-10  1972.22245
2.5037e-10  1967.98181
2.57875e-10  1939.17706
2.58968e-10  1935.16371
2.6561e-10  1910.77687
2.68992e-10  1898.89787
2.73572e-10  1882.81207
2.79409e-10  1863.198
2.81777e-10  1855.24133
2.90224e-10  1828.08966
2.98929e-10  1801.32184
3.01463e-10  1793.86772
3.0789e-10  1774.9631
3.14459e-10  1756.47656
3.17125e-10  1748.97442
3.26631e-10  1723.38481
3.28015e-10  1719.8204
3.36428e-10  1698.15478
3.42156e-10  1684.04357
3.46513e-10  1673.31064
3.56906e-10  1648.81628
3.67605e-10  1624.69632
3.72292e-10  1614.58716
3.78631e-10  1600.91584
3.88342e-10  1580.88065
3.89981e-10  1577.49939
4.01678e-10  1554.4126
4.05083e-10  1547.98361
4.13719e-10  1531.67906
4.22546e-10  1515.73497
4.26128e-10  1509.2653
4.38901e-10  1487.19474
4.42622e-10  1481.04422
4.52066e-10  1465.43521
4.6366e-10  1447.10208
4.65617e-10  1444.00777
4.79583e-10  1422.88301
4.8569e-10  1414.04571
4.93959e-10  1402.08069
5.08775e-10  1381.57171
5.24026e-10  1361.37643
5.32948e-10  1350.07424
5.39744e-10  1341.46581
5.55923e-10  1321.85942
5.5828e-10  1319.12703
5.72598e-10  1302.52988
5.87284e-10  1286.2433
5.89762e-10  1283.49543
6.07452e-10  1264.72959
6.17794e-10  1254.23409
6.25661e-10  1246.2509
6.44427e-10  1228.03271
6.4989e-10  1222.95898
6.63744e-10  1210.09308
6.83653e-10  1192.4063
7.04146e-10  1174.99035
7.1917e-10  1162.77605
7.25267e-10  1157.81963
7.47007e-10  1140.91211
7.59726e-10  1131.44948
7.69413e-10  1124.2431
7.92477e-10  1107.82851
8.02583e-10  1100.94812
8.16247e-10  1091.64603
8.40715e-10  1075.71066
8.47842e-10  1071.27031
8.65932e-10  1060.00048
8.91889e-10  1044.53056
8.9945e-10  1040.21974
9.18641e-10  1029.279
9.46178e-10  1014.26086
9.54199e-10  1010.07604
9.74558e-10  999.454817
1.003771e-09  984.875131
1.01228e-09  980.812702
1.033879e-09  970.501484
1.064871e-09  956.347727
1.078449e-09  950.415512
1.096811e-09  942.393743
1.129689e-09  928.653619
1.148923e-09  920.96397
1.163573e-09  915.107393
1.198452e-09  901.768656
1.229189e-09  890.524008
1.234399e-09  888.618145
1.271402e-09  875.669251
1.309537e-09  862.902834
1.315064e-09  861.132828
1.348791e-09  850.332629
1.389247e-09  837.939806
1.412901e-09  831.008262
1.430892e-09  825.736568
1.47381e-09  813.706172
1.517989e-09  801.859604
1.563521e-09  790.180958
1.610389e-09  778.681238
1.637807e-09  772.245665
1.658691e-09  767.344098
1.708412e-09  756.18077
1.759655e-09  745.175131
1.767082e-09  743.649235
1.812403e-09  734.338567
1.866765e-09  723.655084
1.914642e-09  714.654546
1.922723e-09  713.135479
1.980394e-09  702.764959
2.039758e-09  692.553431
2.083279e-09  685.392125
2.100939e-09  682.486404
2.163917e-09  672.57404
2.228823e-09  662.801814
2.276337e-09  655.958716
2.295634e-09  653.179703
2.36449e-09  643.694107
2.435368e-09  634.353987
2.497828e-09  626.480616
2.508415e-09  625.146169
2.583608e-09  616.080064
2.661102e-09  607.142311
2.740871e-09  598.341837
2.752488e-09  597.115867
2.823082e-09  589.666445
2.907706e-09  581.124433
2.994921e-09  572.703466
3.045912e-09  567.993962
3.084697e-09  564.412047
3.177221e-09  556.238542
3.272461e-09  548.190702
3.370617e-09  540.257006
3.384843e-09  539.157135
3.471655e-09  532.445813
3.575785e-09  524.745561
3.682973e-09  517.163836
3.793441e-09  509.689804
3.907154e-09  502.331338
4.024346e-09  495.07751
4.14498e-09  487.935414
4.269306e-09  480.894947
4.397283e-09  473.963475
4.529177e-09  467.130717
4.664944e-09  460.403366
4.804866e-09  453.771885
4.845597e-09  451.9255
4.948897e-09  447.243118
5.097336e-09  440.807603
5.250134e-09  434.471538
5.407609e-09  428.225913
5.546299e-09  422.964904
5.569708e-09  422.076978
5.736768e-09  416.01625
5.908733e-09  410.049396
6.085962e-09  404.167889
6.268395e-09  398.377539
6.402141e-09  394.317553
6.456412e-09  392.670219
6.649949e-09  387.051759
6.849411e-09  381.513851
7.054729e-09  376.061994
7.266331e-09  370.688408
7.484147e-09  365.398394
7.70863e-09  360.1848
7.939704e-09  355.052428
8.17785e-09  349.993961
8.42299e-09  345.014364
8.675632e-09  340.106594
8.860582e-09  336.670796
8.935694e-09  335.275544
9.203714e-09  330.514526
9.479605e-09  325.827974
9.76394e-09  321.209218
1.0056625e-08  316.662807
1.0358267e-08  312.182261
1.0668767e-08  307.772002
1.098877e-08  303.426041
1.131817e-08  299.14836
1.1657652e-08  294.932857
1.2007102e-08  290.783685
1.2367248e-08  286.694922
1.2737969e-08  282.670602
1.3064662e-08  279.279737
1.3120036e-08  278.70503
1.3513323e-08  274.802315
1.3918647e-08  270.956685
1.4335873e-08  267.171938
1.4765869e-08  263.442971
1.5208491e-08  259.77293
1.5664661e-08  256.156894
1.6134225e-08  252.598465
1.633996e-08  251.108021
1.6618162e-08  249.092733
1.7116308e-08  245.643166
1.7629702e-08  242.244762
1.8158171e-08  238.900912
1.8702814e-08  235.606871
1.926345e-08  232.365918
1.9841246e-08  229.173455
2.0436008e-08  226.032655
2.1048973e-08  222.939053
2.1679938e-08  219.89589
2.2330215e-08  216.898656
2.2999587e-08  213.950297
2.3689445e-08  211.046597
2.4399561e-08  208.190401
2.5268741e-08  204.863829
2.53e-08  204.747483
2.6058858e-08  201.98937
2.684e-08  199.276651
2.7645049e-08  196.60547
2.8473738e-08  193.978483
2.9327791e-08  191.391988
3.0206922e-08  188.848589
3.111296e-08  186.344724
3.2045604e-08  183.882918
3.3006792e-08  181.459713
3.3996206e-08  179.077525
3.4868113e-08  177.072775
3.5015901e-08  176.732995
3.6065539e-08  174.428551
3.7147303e-08  172.160755
3.8423001e-08  169.615689
3.9742508e-08  167.118924
4.110733e-08  164.669788
4.2519021e-08  162.267664
4.3979192e-08  159.911949
4.5489508e-08  157.602062
4.705169e-08  155.337427
4.8667521e-08  153.11747
5.0338841e-08  150.941634
5.1195903e-08  149.8845
5.2067558e-08  148.809446
5.3855641e-08  146.720386
5.570513e-08  144.673873
5.7618133e-08  142.669442
5.9596832e-08  140.706659
6.1643482e-08  138.785111
6.3760418e-08  136.904367
6.5950052e-08  135.063946
6.8214883e-08  133.263295
7.0557491e-08  131.501852
7.2980548e-08  129.779105
7.5486817e-08  128.094663
7.8079155e-08  126.448246
8.0760518e-08  124.839634
8.2135535e-08  124.060753
8.3533963e-08  123.268674
8.6402653e-08  121.735141
8.9369858e-08  120.238736
9.2438962e-08  118.77923
9.5613464e-08  117.356415
9.8896983e-08  115.9701
1.02293263e-07  114.620125
1.05806178e-07  113.306356
1.09439731e-07  112.028691
1.13198066e-07  110.787074
1.17085469e-07  109.581522
1.21106371e-07  108.412133
1.25265358e-07  107.279038
1.2956717e-07  106.182248
1.34016714e-07  105.121582
1.38619062e-07  104.096851
1.41574189e-07  103.483078
1.43379462e-07  103.108178
1.48303342e-07  102.155954
1.53396316e-07  101.240549
1.58664191e-07  100.362393
1.64112973e-07  99.5219015
1.69748875e-07  98.7195249
1.75578323e-07  97.9557741
1.81607963e-07  97.2312309
1.87844671e-07  96.5465548
1.94295557e-07  95.9024898
2.00967978e-07  95.2998718
2.05252279e-07  94.9520935
2.07869539e-07  94.7397226
2.15008112e-07  94.2231501
2.22391834e-07  93.7511828
2.30029125e-07  93.3251349
2.37928693e-07  92.9465431
2.46099545e-07  92.6172764
2.54550997e-07  92.3393292
2.55625357e-07  92.3116672
2.63292685e-07  92.1145582
2.72334577e-07  91.9441828
2.81686982e-07  91.8305551
2.93686036e-07  91.7731559
2.97571883e-07  91.7824559
3.03623591e-07  91.7972227
3.14050511e-07  91.8886302
3.24835507e-07  92.0511467
3.33493008e-07  92.2357827
3.35990878e-07  92.2891857
3.47529342e-07  92.607881
3.57946897e-07  92.956616
3.64397881e-07  93.2080557
3.68683297e-07  93.3753335
3.79734965e-07  93.8681071
3.91124885e-07  94.4400921
3.91508046e-07  94.4615301
4.02849262e-07  95.0967933
4.14932481e-07  95.844446
4.1709195e-07  95.9910669
4.27370516e-07  96.6896665
4.38331368e-07  97.4977313
4.40620463e-07  97.6790648
4.49573335e-07  98.3889402
4.61103626e-07  99.3687457
4.61555342e-07  99.4097996
4.72929638e-07  100.444438
4.81452861e-07  101.272243
4.85058953e-07  101.622784
4.95408425e-07  102.68981
5.00097438e-07  103.19948
5.05969705e-07  103.838282
5.1676534e-07  105.075688
5.17271584e-07  105.136808
5.27781914e-07  106.40699
5.39042945e-07  107.840398
5.41848333e-07  108.216588
5.5053444e-07  109.382462
5.57089572e-07  110.309376
5.62280931e-07  111.043998
5.71377352e-07  112.392974
5.71854248e-07  112.463746
5.81590558e-07  113.970464
5.83568559e-07  114.289781
5.91492637e-07  115.569832
5.96009266e-07  116.331252
6.01563307e-07  117.268208
6.08726032e-07  118.529788
6.1180544e-07  119.072567
6.21703054e-07  120.894916
6.22221953e-07  120.990522
6.32288083e-07  122.928998
6.32815817e-07  123.030692
6.40873707e-07  124.645368
6.43053331e-07  125.097253
6.49045763e-07  126.340444
6.54001867e-07  127.404685
6.57310315e-07  128.115618
6.65136811e-07  129.857148
6.65691961e-07  129.980758
6.73618256e-07  131.809184
6.74168476e-07  131.936181
6.82195699e-07  133.856618
6.82765088e-07  133.99292
6.9089467e-07  136.011084
6.91459002e-07  136.151265
6.99692101e-07  138.273269
7.00276092e-07  138.423883
7.08614175e-07  140.656527
7.0919298e-07  140.811613
7.17637235e-07  143.162393
7.18236205e-07  143.329253
7.26788136e-07  145.806551
7.27381786e-07  145.97864
7.36042612e-07  148.591455
7.36656944e-07  148.776902
7.42282045e-07  150.545449
7.46037083e-07  151.726634
7.4857437e-07  152.558564
7.54920035e-07  154.640242
7.55550123e-07  154.847051
7.61319492e-07  156.808332
7.61954921e-07  157.024462
7.67773198e-07  159.060798
7.68414013e-07  159.285202
7.74281611e-07  161.400353
7.74927858e-07  161.633445
7.80845196e-07  163.831432
7.81496922e-07  164.073657
7.87464421e-07  166.358771
7.88121671e-07  166.610601
7.94139757e-07  168.987429
7.94802579e-07  169.249371
8.0087168e-07  171.722813
8.0154012e-07  171.995407
8.07660669e-07  174.570709
8.08334776e-07  174.854534
8.14507208e-07  177.53731
8.1518703e-07  177.832986
8.21411786e-07  180.629258
8.2209737e-07  180.93742
8.26634117e-07  183.044785
8.29066289e-07  184.175148
8.31885961e-07  185.530176
8.36094284e-07  187.553615
8.37167443e-07  188.087479
8.42478688e-07  190.731086
8.43181856e-07  191.081277
8.47834957e-07  193.480297
8.50329508e-07  194.767162
8.53221496e-07  196.312633
8.57537751e-07  198.620567
8.58638434e-07  199.230653
8.64085897e-07  202.251845
8.64807099e-07  202.652075
8.69579539e-07  205.399305
8.72138069e-07  206.873032
8.75104228e-07  208.638113
8.77675104e-07  210.168947
8.80660094e-07  211.997543
8.83243342e-07  213.581065
8.86247271e-07  215.476318
8.88858782e-07  217.125085
8.91881809e-07  219.090371
8.94505958e-07  220.79751
8.9754819e-07  222.836302
9.00185002e-07  224.604632
9.03246549e-07  226.720626
9.0589605e-07  228.553145
9.08977021e-07  230.750372
9.1165551e-07  232.661724
9.1282972e-07  233.526139
9.16682419e-07  236.363763
9.1744752e-07  236.92757
9.20567777e-07  239.300765
9.23272215e-07  241.358752
9.24453136e-07  242.286733
9.2837143e-07  245.367361
9.29129736e-07  245.963872
9.32289725e-07  248.532225
9.3503691e-07  250.766265
9.36241235e-07  251.778774
9.40192745e-07  255.102718
9.40977469e-07  255.763186
9.44177752e-07  258.549393
9.46951552e-07  260.965665
9.48162759e-07  262.057685
9.52181547e-07  265.683075
9.52959301e-07  266.38511
9.56200335e-07  269.414904
9.59017978e-07  272.050473
9.6025319e-07  273.247843
9.64306045e-07  277.17889
9.65110894e-07  277.960037
9.68393256e-07  281.263477
9.71238195e-07  284.128481
9.72480467e-07  285.426589
9.76602326e-07  289.736428
9.77400027e-07  290.571057
9.80724184e-07  294.18249
9.83614092e-07  297.324222
9.84880984e-07  298.746104
9.87774361e-07  301.995627
9.89037783e-07  303.451783
