E(MeV)  pendfb7/In113:1
1.271402e-09  56.9616892
1.27679e-09  56.8506881
1.309537e-09  56.177196
1.348791e-09  55.4044889
1.36599e-09  55.0804412
1.389247e-09  54.642987
1.430892e-09  53.8932663
1.46759e-09  53.2609193
1.47381e-09  53.1539174
1.517989e-09  52.4265354
1.563521e-09  51.7090515
1.576774e-09  51.5091694
1.610389e-09  51.0030314
1.658691e-09  50.3069683
1.701232e-09  49.7202342
1.708412e-09  49.62137
1.759655e-09  48.9461103
1.812403e-09  48.2808725
1.84326e-09  47.9084168
1.866765e-09  47.6251731
1.922723e-09  46.9798496
1.980394e-09  46.3433402
1.997181e-09  46.1660214
2.039758e-09  45.7170301
2.100939e-09  45.0995943
2.163917e-09  44.4913394
2.173089e-09  44.4065608
2.228823e-09  43.8922654
2.295634e-09  43.3022763
2.36449e-09  42.7203737
2.37447e-09  42.6396584
2.435368e-09  42.1479631
2.508415e-09  41.583562
2.583608e-09  41.0275793
2.605509e-09  40.8726062
2.661102e-09  40.4798847
2.740871e-09  39.9406501
2.823082e-09  39.4088333
2.871147e-09  39.1112856
2.907706e-09  38.8853387
2.994921e-09  38.3695559
3.084697e-09  37.861498
3.177221e-09  37.3604436
3.272461e-09  36.8677118
3.370617e-09  36.3817918
3.471655e-09  35.9031641
3.530763e-09  35.6352267
3.575785e-09  35.4314765
3.682973e-09  34.9673237
3.793441e-09  34.5096006
3.907154e-09  34.0587549
3.956975e-09  33.8697415
4.024346e-09  33.6145763
4.14498e-09  33.1774072
4.269306e-09  32.7463095
4.397283e-09  32.3217019
4.472151e-09  32.0840208
4.529177e-09  31.9032831
4.664944e-09  31.4915759
4.804866e-09  31.0855996
4.948897e-09  30.6857515
5.075822e-09  30.348608
5.097336e-09  30.2915541
5.250134e-09  29.9038654
5.407609e-09  29.5215869
5.569708e-09  29.1450959
5.736768e-09  28.7738527
5.809816e-09  28.6185397
5.908733e-09  28.4085747
6.085962e-09  28.048665
6.268395e-09  27.6942193
6.456412e-09  27.3447319
6.649949e-09  27.0005476
6.734746e-09  26.8562698
6.849411e-09  26.6614986
7.054729e-09  26.3278524
7.266331e-09  25.9988911
7.484147e-09  25.674938
7.70863e-09  25.3555315
7.872965e-09  25.1318337
7.939704e-09  25.0411361
8.17785e-09  24.7315368
8.42299e-09  24.4266683
8.675632e-09  24.1260984
8.935694e-09  23.8301198
9.203714e-09  23.5383124
9.360415e-09  23.3751024
9.479605e-09  23.2511682
9.76394e-09  22.9683567
1.0056625e-08  22.6898839
1.0358267e-08  22.4153521
1.0668767e-08  22.1450314
1.098877e-08  21.8785344
1.1270601e-08  21.6540182
1.131817e-08  21.6161851
1.1657652e-08  21.3579266
1.2007102e-08  21.1036454
1.2367248e-08  20.8529775
1.2737969e-08  20.6061697
1.3120036e-08  20.3628694
1.3513323e-08  20.1233155
1.3859902e-08  19.921393
1.3918647e-08  19.8872238
1.4335873e-08  19.6551154
1.4765869e-08  19.4263265
1.5208491e-08  19.2010989
1.5664661e-08  18.97908
1.6134225e-08  18.7605071
1.6618162e-08  18.545069
1.7116308e-08  18.3329801
1.7481511e-08  18.1842783
1.7629702e-08  18.1240554
1.8158171e-08  17.9186857
1.8702814e-08  17.7162911
1.926345e-08  17.5170724
1.9841246e-08  17.3207463
2.0436008e-08  17.1275072
2.1048973e-08  16.9370796
2.1679938e-08  16.7496504
2.2330215e-08  16.5649518
2.2999587e-08  16.3831642
2.3689445e-08  16.2040261
2.4399561e-08  16.027712
2.5268741e-08  15.8222195
2.53e-08  15.8150387
2.6058858e-08  15.6448867
2.684e-08  15.4774362
2.7645049e-08  15.3124487
2.8473738e-08  15.1500879
2.9327791e-08  14.9901238
3.0206922e-08  14.8327163
3.111296e-08  14.6776431
3.2045604e-08  14.5250587
3.3006792e-08  14.3747476
3.3996206e-08  14.2268592
3.4868113e-08  14.1022972
3.5015901e-08  14.0812197
3.6065539e-08  13.9381558
3.7147303e-08  13.7972542
3.8260833e-08  13.6586553
3.9408443e-08  13.5221633
4.0589752e-08  13.3879149
4.1807217e-08  13.255721
4.3060432e-08  13.1257141
4.4352004e-08  12.9977105
4.5681502e-08  12.8718366
4.705169e-08  12.7479114
4.8462114e-08  12.6260543
4.9915706e-08  12.5060878
5.1195903e-08  12.4051618
5.1411981e-08  12.3881562
5.2954052e-08  12.2722395
5.4541406e-08  12.1582802
5.6177342e-08  12.0461191
5.8106562e-08  11.9202329
6.0102034e-08  11.7967286
6.2166034e-08  11.6755766
6.4300915e-08  11.5567477
6.6509111e-08  11.4402127
6.879314e-08  11.3259437
7.1155607e-08  11.2139135
7.3599204e-08  11.104095
7.6126718e-08  10.9964589
7.8741032e-08  10.8909732
