Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.109633 0.115845 11.0336 0.000193065 0.617768 9.72872e-05 4895.96 0.0815012 131.651 0.393192
4 -0.182561 0.0714822 11.0336 0.000193065 0.604704 7.76114e-05 4896 0.065018 133.056 0.41111
5 0.129837 0.0509193 11.0336 0.000193065 0.587703 7.56615e-05 4896.03 0.0633845 134.103 0.398959
6 -0.158219 0.183947 11.0336 0.000193065 0.595525 8.75882e-05 4895.88 0.073376 133.991 0.432432
7 0.252249 0.106289 11.0336 0.000193065 0.592455 8.47222e-05 4895.91 0.070975 133.536 0.371287
8 -0.00894233 0.0307545 11.0336 0.000193065 0.620129 8.56627e-05 4896.2 0.0717629 131.904 0.433371
9 -0.0314561 0.0192738 11.0336 0.000193065 0.589276 7.53163e-05 4895.69 0.0630953 134.016 0.384558
10 -0.21004 0.0772454 11.0336 0.000193065 0.586352 6.63317e-05 4896.46 0.0555686 135.133 0.444785
11 -0.172947 0.121347 11.0336 0.000193065 0.555488 6.52355e-05 4912.82 0.0546503 93.0515 30.8052
12 0.00726825 0.184944 11.0336 0.000193065 0.578742 6.65807e-05 4896.46 0.0557772 135.461 0.456993
13 -0.171486 0.0378493 11.0336 0.000193065 0.597979 7.0098e-05 4896.47 0.0587238 134.049 0.42697
14 -0.114808 0.0226849 11.0336 0.000193065 0.578864 7.95395e-05 4896.3 0.0666332 135.331 0.431748
15 -0.0188659 0.0628409 11.0336 0.000193065 0.564585 6.36163e-05 4896.3 0.0532938 136.99 0.441054
16 -0.186601 0.0306685 11.0336 0.000193065 0.561055 6.1579e-05 4896.32 0.051587 137.601 0.464989
17 -0.0284992 0.0191916 11.0336 0.000193065 0.563611 5.9029e-05 4896.12 0.0494509 137.195 0.448365
18 -0.0409748 0.062549 11.0336 0.000193065 0.575218 6.35282e-05 4896.07 0.05322 136.085 0.415968
19 -0.187318 0.063359 11.0336 0.000193065 0.560209 6.66321e-05 4895.89 0.0558203 137.2 0.442875
20 -0.122314 0.0293106 11.0336 0.000193065 0.548397 5.91024e-05 4895.81 0.0495123 138.879 0.497576
21 -0.100908 0.0917966 11.0336 0.000193065 0.541064 6.03258e-05 4895.85 0.0505372 139.602 0.495434
22 -0.0521458 0.0894801 11.0336 0.000193065 0.547154 6.2988e-05 4895.79 0.0527674 139.076 0.475153
23 -0.154082 0.036887 11.0336 0.000193065 0.533683 6.06534e-05 4895.76 0.0508116 140.163 0.476702
24 0.0709979 0.036306 11.0336 0.000193065 0.525754 5.97071e-05 4895.98 0.0500189 141.401 0.489815
25 -0.0684934 0.0523658 11.0336 0.000193065 0.528564 5.42677e-05 4896.17 0.0454621 141.482 0.52181
26 0.0642571 0.0164564 11.0336 0.000193065 0.53588 5.58081e-05 4896.21 0.0467526 140.3 0.540825
27 -0.102721 0.0192834 11.0336 0.000193065 0.518583 6.14667e-05 4895.75 0.051493 142.1 0.509501
28 -0.0915984 0.0480299 11.0336 0.000193065 0.515218 5.46831e-05 4896.07 0.0458101 143.443 0.538565
29 -0.109195 0.0440165 11.0336 0.000193065 0.514303 5.14996e-05 4895.86 0.0431432 143.559 0.542999
30 -0.0158122 0.0132203 11.0336 0.000193065 0.521241 5.19381e-05 4895.99 0.0435105 142.308 0.518602
31 -0.200619 0.0292638 11.0336 0.000193065 0.505427 5.57469e-05 4895.81 0.0467013 144.954 0.573275
32 -0.02034 0.00902801 11.0336 0.000193065 0.496069 5.16115e-05 4896.1 0.0432369 146.137 0.570866
33 -0.0389947 0.00362693 11.0336 0.000193065 0.499162 5.39875e-05 4895.84 0.0452274 145.42 0.572163
34 0.0326716 0.0220853 11.0336 0.000193065 0.480736 5.36813e-05 4895.55 0.0449709 147.647 0.632823
35 -0.191889 0.0768739 11.0336 0.000193065 0.489262 4.89238e-05 4896.3 0.0409853 148.299 0.688353
36 -0.0336664 1.37488e-05 11.0336 0.000193065 0.486739 5.16567e-05 4895.79 0.0432748 147.601 0.648275
37 0.0329497 0.00603054 11.0336 0.000193065 0.469361 6.01075e-05 4895.47 0.0503544 149.856 0.589389
38 -0.0957589 0.0495124 11.0336 0.000193065 0.469662 4.66837e-05 4895.86 0.0391087 151.091 0.702348
39 0.0913752 0.0455202 11.0336 0.000193065 0.469671 4.99981e-05 4895.44 0.0418853 150.271 0.71031
40 -0.0171352 0.0122865 11.0336 0.000193065 0.455442 4.37846e-05 4895.69 0.03668 153.459 0.779489
41 -0.0295366 0.0498054 11.0336 0.000193065 0.459132 4.42832e-05 4895.64 0.0370977 153.44 0.683348
42 -0.0294787 0.0191356 11.0336 0.000193065 0.444461 4.59726e-05 4895.72 0.038513 156.379 0.858034
43 -0.179485 0.0228084 11.0336 0.000193065 0.451324 4.42014e-05 4895.89 0.0370292 156.135 0.841326
44 -0.115237 0.0330958 11.0336 0.000193065 0.425533 4.53141e-05 4895.36 0.0379614 162.886 1.20579
45 -0.0830695 0.0346559 11.0336 0.000193065 0.436645 4.72154e-05 4895.69 0.0395541 159.358 0.98282
46 0.00863372 0.00429529 11.0336 0.000193065 0.410213 5.93606e-05 4894.68 0.0497287 167.044 1.61838
47 -0.0972913 0.0989053 11.0336 0.000193065 0.611426 9.34086e-05 4895.81 0.0782519 132.088 0.399815
48 -0.0305226 0.105781 11.0336 0.000193065 0.599359 8.19024e-05 4895.95 0.0686128 133.381 0.410877
49 0.00560451 0.0483082 11.0336 0.000193065 0.589234 7.78032e-05 4896.44 0.0651787 134.204 0.404812
50 -0.129423 0.0429619 11.0336 0.000193065 0.594737 7.75993e-05 4896.27 0.0650078 133.996 0.419707
51 -0.0575315 0.121991 11.0336 0.000193065 0.601208 7.79557e-05 4895.97 0.0653065 133.165 0.432008
52 -0.0612647 0.0185732 11.0336 0.000193065 0.620415 9.63714e-05 4896.27 0.080734 131.546 0.361785
53 -0.0796938 0.105939 11.0336 0.000193065 0.590002 7.62944e-05 4895.74 0.0639147 134.294 0.411974
54 0.0112885 0.0371521 11.0336 0.000193065 0.57653 7.09869e-05 4895.86 0.0594684 135.541 0.430454
55 -0.117219 0.0193326 11.0336 0.000193065 0.575464 6.51224e-05 4896.43 0.0545555 135.877 0.431371
56 -0.167384 0.0235209 11.0336 0.000193065 0.581379 7.2721e-05 4896.34 0.0609212 135.238 0.429601
57 -0.24687 0.0791041 11.0336 0.000193065 0.596247 7.52439e-05 4896.24 0.0630346 133.872 0.447757
58 -0.0879728 0.0345859 11.0336 0.000193065 0.569849 7.28071e-05 4895.69 0.0609933 135.995 0.426807
59 -0.110596 0.0281712 11.0336 0.000193065 0.561032 6.49523e-05 4895.71 0.054413 137.29 0.439356
60 -0.0372299 0.0595924 11.0336 0.000193065 0.557665 6.31903e-05 4896.23 0.0529369 137.744 0.461367
61 0.0638165 0.0529537 11.0336 0.000193065 0.561611 6.56983e-05 4896.04 0.055038 137.136 0.468639
62 -0.127988 0.017168 11.0336 0.000193065 0.578612 7.5801e-05 4896.01 0.0635013 135.81 0.415461
63 -0.171573 0.00196878 11.0336 0.000193065 0.555836 6.73522e-05 4895.77 0.0564235 137.648 0.46928
64 -0.0578224 0.0353186 11.0336 0.000193065 0.538204 6.95797e-05 4895.74 0.0582895 139.458 0.465055
65 -0.158936 0.0378213 11.0336 0.000193065 0.542124 5.99868e-05 4896.06 0.0502532 139.663 0.485254
66 -0.0950048 0.129425 11.0336 0.000193065 0.547618 6.22267e-05 4896.17 0.0521297 138.946 0.483228
67 -0.0923823 0.056939 11.0336 0.000193065 0.530384 6.14146e-05 4895.55 0.0514493 140.495 0.491012
68 -0.186277 0.0213545 11.0336 0.000193065 0.52789 6.03944e-05 4895.8 0.0505947 141.623 0.504803
69 -0.125101 0.00553097 11.0336 0.000193065 0.528212 5.60204e-05 4895.87 0.0469305 141.487 0.500308
70 0.0509798 0.0358672 11.0336 0.000193065 0.534161 6.78006e-05 4895.95 0.0567991 140.16 0.414486
71 -0.130588 0.00088617 11.0336 0.000193065 0.511185 6.07877e-05 4895.34 0.0509241 142.697 0.543325
72 -0.162474 0.0513534 11.0336 0.000193065 0.507958 5.75029e-05 4895.72 0.0481724 143.936 0.524298
73 -0.00158728 0.129828 11.0336 0.000193065 0.506277 6.80524e-05 4895.69 0.0570101 144.058 0.465087
74 -0.183199 0.0782311 11.0336 0.000193065 0.522526 5.72601e-05 4895.99 0.047969 142.212 0.445148
