Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.4157 0 11.005 0 0.66713 0.000146753 4896.93 0.122941 131.177 0.357651
4 -0.5338 0 11.005 0 0.654049 0.000120897 4896.93 0.10128 132.523 0.358604
5 -0.3362 0 11.005 0 0.636326 0.00011709 4897.04 0.0980905 133.675 0.292105
6 -0.5143 0 11.005 0 0.640223 0.000140727 4896.81 0.117892 133.67 0.289485
7 -0.4171 0 11.005 0 0.647812 0.000133376 4897.07 0.111734 132.852 0.318855
8 -0.3913 0 11.005 0 0.6708 0.000144742 4897.11 0.121256 129.935 2.19869
9 -0.4922 0 11.005 0 0.636776 0.000123753 4896.71 0.103672 125.482 14.2242
10 -0.2895 0 11.005 0 0.621812 0.00010479 4897.12 0.0877862 134.876 0.336204
11 -0.3636 0 11.005 0 0.621011 9.94045e-05 4897.45 0.0832749 134.954 0.179215
12 -0.1396 0 11.005 0 0.615496 0.000109961 4897.21 0.0921185 135.162 0.333428
13 -0.2883 0 11.005 0 0.642081 0.000109252 4897.28 0.0915249 133.663 0.372659
14 -0.2448 0 11.005 0 0.618988 0.000121064 4897.08 0.10142 135.081 0.289806
15 -0.215 0 11.005 0 0.601406 0.000101363 4897.04 0.0849153 136.667 0.392286
16 -0.2535 0 11.005 0 0.598335 0.000120916 4897.17 0.101296 137.297 0.392433
17 -0.4243 0 11.005 0 0.605517 8.88292e-05 4897.06 0.0744156 136.75 0.387201
18 -0.349 0 11.005 0 0.616128 9.85362e-05 4896.99 0.0825475 135.68 0.395246
19 -0.4401 0 11.005 0 0.604401 0.000106976 4896.92 0.0896177 136.799 0.327461
20 -0.5177 0 11.005 0 0.595596 9.29487e-05 4896.97 0.0778667 138.244 0.417082
21 -0.4556 0 11.005 0 0.58789 9.27204e-05 4897.11 0.0776754 139.06 0.395489
22 -0.4583 0 11.005 0 0.597331 0.000100801 4897.13 0.0844448 138.377 0.357726
23 -0.4111 0 11.005 0 0.57842 9.83767e-05 4896.96 0.0824139 139.453 0.465383
24 -0.3492 0 11.005 0 0.570089 9.70567e-05 4897.1 0.0813081 140.961 0.398644
25 -0.2597 0 11.005 0 0.569702 8.81294e-05 4897.21 0.0738294 141.134 0.37079
26 -0.3506 0 11.005 0 0.576882 9.11761e-05 4898.06 0.0763817 139.084 1.08342
27 -0.365 0 11.005 0 0.565268 9.74628e-05 4896.99 0.0816483 141.455 0.377065
28 -0.3501 0 11.005 0 0.554201 8.84032e-05 4897.14 0.0740587 142.952 0.468095
29 -0.4942 0 11.005 0 0.559977 8.17333e-05 4897.05 0.0684711 143.038 0.388526
30 -0.3882 0 11.005 0 0.566698 8.28655e-05 4897.18 0.0694196 141.662 0.448192
31 -0.3519 0 11.005 0 0.544716 8.52311e-05 4896.85 0.0714013 144.51 0.419124
32 -0.2382 0 11.005 0 0.535942 8.43433e-05 4899.39 0.0706576 136.49 9.57406
33 -0.3992 0 11.005 0 0.544293 8.81325e-05 4897.14 0.0738319 144.834 0.45294
34 -0.357 0 11.005 0 0.529744 8.60406e-05 4897.05 0.0720795 146.806 0.518495
35 -0.2589 0 11.005 0 0.525064 7.96459e-05 4897.27 0.0667224 147.81 0.560289
36 -0.405 0 11.005 0 0.530052 9.32892e-05 4897.12 0.0781519 143.22 6.16552
37 -0.4024 0 11.005 0 0.519543 9.73224e-05 4897.13 0.0815307 148.829 0.553298
38 -0.3803 0 11.005 0 0.514401 7.39372e-05 4897.24 0.06194 150.242 0.601393
39 -0.4819 0 11.005 0 0.526271 8.10522e-05 4897.29 0.0679005 149.012 0.555535
40 -0.3534 0 11.005 0 0.500805 6.96096e-05 4897.16 0.0583146 144.122 14.8896
41 -0.4475 0 11.005 0 0.501137 7.10371e-05 4900.49 0.0595104 144.547 7.80551e-10
42 -0.2812 0 11.005 0 0.482559 7.24264e-05 4900.07 0.0606744 148.183 0.712471
43 -0.3985 0 11.005 0 0.487258 7.01586e-05 4900.97 0.0587745 145.808 4.65757e-10
44 -0.4253 0 11.005 0 0.468971 7.05867e-05 4896.92 0.0591331 161.767 0.860245
45 -0.4026 0 11.005 0 0.481667 7.6079e-05 4897.3 0.0637342 158.38 0.68157
46 -0.4783 0 11.005 0 0.458415 9.07649e-05 4896.79 0.0760372 164.72 1.19678
47 -0.4312 0 11.005 0 0.663604 0.000152336 4896.84 0.127618 131.631 0.33474
48 -0.4633 0 11.005 0 0.644869 0.000131727 4896.86 0.110353 133.033 0.297976
49 -0.3189 0 11.005 0 0.635724 0.000123647 4898.69 0.103584 130.396 4.00836
50 -0.2729 0 11.005 0 0.632485 0.000122969 4897.07 0.103015 133.703 0.357586
51 -0.425 0 11.005 0 0.645002 0.00012952 4897.01 0.108504 131.846 1.11496
52 -0.384 0 11.005 0 0.668835 0.000158379 4897.14 0.13268 131.082 0.363768
53 -0.4945 0 11.005 0 0.634085 0.000127503 4896.65 0.106814 133.876 0.308768
54 -0.4117 0 11.005 0 0.619327 0.000114272 4896.87 0.0957301 135.181 0.341128
55 -0.4116 0 11.005 0 0.617724 0.00010252 4897.19 0.0858851 135.637 0.350007
56 -0.3323 0 11.005 0 0.614616 0.000118405 4899.95 0.0991925 130.149 0.299788
