Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.0934574 0.0559156 11.0049 0.000636239 0.644473 9.72872e-05 4919.36 0.0815012 131.479 0.155038
4 -0.0266972 0.0660976 11.0049 0.000636239 0.627139 7.76114e-05 4920.22 0.065018 132.956 0.156235
5 -0.0352965 0.0375227 11.0049 0.000636239 0.620197 7.56615e-05 4909.28 0.0633845 133.806 0.169853
6 -0.00535964 0.00925765 11.0049 0.000636239 0.617936 8.75882e-05 4922.74 0.073376 133.889 0.127445
7 -0.0855118 0.0742484 11.0049 0.000636239 0.630187 8.47222e-05 4910.21 0.070975 132.942 0.233829
8 0.0729922 0.0516334 11.0049 0.000636239 0.645053 8.56627e-05 4913.17 0.0717629 131.674 0.219484
9 -0.0141047 0.00166777 11.0049 0.000636239 0.615705 7.53163e-05 4922.93 0.0630953 133.864 0.156425
10 0.0768188 0.0118884 11.0049 0.000636239 0.605261 6.63317e-05 4906.97 0.0555686 135.119 0.134668
11 0.0408698 0.0775385 11.0049 0.000636239 0.596228 6.52355e-05 4911.94 0.0546503 135.804 0.169714
12 0.0168761 0.000176126 11.0049 0.000636239 0.606287 6.65807e-05 4900.08 0.0557772 135.235 0.162197
13 -0.0359973 0.0270808 11.0049 0.000636239 0.621585 7.0098e-05 4905.36 0.0587238 133.928 0.154288
14 0.0569431 0.01756 11.0049 0.000636239 0.601189 7.95395e-05 4910.63 0.0666332 135.234 0.110672
15 0.0580276 0.0231468 11.0049 0.000636239 0.589883 6.36163e-05 4903.35 0.0532938 136.829 0.155934
16 0.00213241 0.0708738 11.0049 0.000636239 0.582908 6.1579e-05 4906.42 0.051587 137.517 0.153047
17 -0.0295485 0.0662615 11.0049 0.000636239 0.591147 5.9029e-05 4908.07 0.0494509 136.98 0.138021
18 0.0616565 0.0522761 11.0049 0.000636239 0.599441 6.35282e-05 4910.75 0.05322 135.968 0.183389
19 -0.120997 0.0378509 11.0049 0.000636239 0.585393 6.66321e-05 4915.57 0.0558203 137.043 0.152507
20 -0.0480269 0.0350692 11.0049 0.000636239 0.573266 5.91024e-05 4915.17 0.0495123 138.608 0.0476956
21 -0.0171314 0.0774807 11.0049 0.000636239 0.5657 6.03258e-05 4913.64 0.0505372 139.434 0.174539
22 0.0817718 0.0177244 11.0049 0.000636239 0.570132 6.2988e-05 4917.04 0.0527674 138.895 0.198428
23 -0.0226784 0.0246723 11.0049 0.000636239 0.55674 6.06534e-05 4917.29 0.0508116 139.968 0.18864
24 0.00133781 0.0820521 11.0049 0.000636239 0.555366 5.97071e-05 4907.55 0.0500189 141.104 0.164607
25 -0.0583285 0.00110281 11.0049 0.000636239 0.555889 5.42677e-05 4903.84 0.0454621 141.229 0.186499
26 -0.00272881 0.00512735 11.0049 0.000636239 0.565652 5.58081e-05 4906.22 0.0467526 139.982 0.158296
27 -0.0112172 0.00343019 11.0049 0.000636239 0.542902 6.14667e-05 4915.06 0.051493 141.936 0.161807
28 -0.135807 0.0153997 11.0049 0.000636239 0.544161 5.46831e-05 4902.53 0.0458101 143.151 0.196918
29 -0.150149 0.0142591 11.0049 0.000636239 0.542911 5.14996e-05 4907.43 0.0431432 143.26 0.119422
30 0.00955569 0.0585875 11.0049 0.000636239 0.547904 5.19381e-05 4908.61 0.0435105 142.093 0.192783
31 0.142149 0.0499447 11.0049 0.000636239 0.521945 5.57469e-05 4915.36 0.0467013 145.014 0.180518
32 0.0142646 0.0284965 11.0049 0.000636239 0.522626 5.16115e-05 4903.81 0.0432369 145.846 0.215194
33 0.0555441 0.00491129 11.0049 0.000636239 0.523532 5.39875e-05 4910.59 0.0452274 145.239 0.200768
