Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.0934574 0.0559156 11.0049 0.000636239 0.657329 0.000146753 4896.84 0.122941 131.099 0.0911687
4 -0.0266972 0.0660976 11.0049 0.000636239 0.638673 0.000120897 4896.69 0.10128 132.651 0.124342
5 -0.0352965 0.0375227 11.0049 0.000636239 0.62718 0.00011709 4896.94 0.0980905 133.636 0.0899744
6 -0.00535964 0.00925765 11.0049 0.000636239 0.624854 0.000140727 4896.49 0.117892 133.733 0.0902638
7 -0.0855118 0.0742484 11.0049 0.000636239 0.637729 0.000133376 4896.97 0.111734 132.79 0.0792462
8 0.0729922 0.0516334 11.0049 0.000636239 0.656726 0.000144742 4896.94 0.121256 131.39 0.0995575
9 -0.0141047 0.00166777 11.0049 0.000636239 0.622287 0.000123753 4896.46 0.103672 133.717 0.0936894
10 0.0768188 0.0118884 11.0049 0.000636239 0.6107 0.00010479 4896.96 0.0877862 134.945 0.0840561
11 0.0408698 0.0775385 11.0049 0.000636239 0.608923 9.94045e-05 4897.12 0.0832749 135.3 0.173372
12 0.0168761 0.000176126 11.0049 0.000636239 0.610701 0.000109961 4897.21 0.0921185 134.989 0.135673
13 -0.0359973 0.0270808 11.0049 0.000636239 0.634335 0.000109252 4897.28 0.0915249 133.535 0.116079
14 0.0569431 0.01756 11.0049 0.000636239 0.609828 0.000121064 4896.96 0.10142 135.058 0.0665259
15 0.0580276 0.0231468 11.0049 0.000636239 0.593113 0.000101363 4896.93 0.0849153 136.728 0.0982601
16 0.00213241 0.0708738 11.0049 0.000636239 0.590517 0.000120916 4897.12 0.101296 137.04 0.0517743
17 -0.0295485 0.0662615 11.0049 0.000636239 0.593538 8.88292e-05 4896.86 0.0744156 136.814 0.0761919
18 0.0616565 0.0522761 11.0049 0.000636239 0.603646 9.85362e-05 4896.81 0.0825475 135.667 0.118819
19 -0.120997 0.0378509 11.0049 0.000636239 0.594706 0.000106976 4896.77 0.0896177 136.768 0.0771175
20 -0.0480269 0.0350692 11.0049 0.000636239 0.581356 9.29487e-05 4896.7 0.0778667 138.368 0.108721
21 -0.0171314 0.0774807 11.0049 0.000636239 0.574753 9.27204e-05 4896.73 0.0776754 139.174 0.0606053
22 0.0817718 0.0177244 11.0049 0.000636239 0.580948 0.000100801 4896.82 0.0844448 138.384 0.196267
23 -0.0226784 0.0246723 11.0049 0.000636239 0.566642 9.83767e-05 4896.73 0.0824139 139.503 0.155569
24 0.00133781 0.0820521 11.0049 0.000636239 0.559462 9.70567e-05 4896.9 0.0813081 140.91 0.123138
25 -0.0583285 0.00110281 11.0049 0.000636239 0.563544 8.81294e-05 4897.17 0.0738294 141.002 0.169995
26 -0.00272881 0.00512735 11.0049 0.000636239 0.567483 9.11761e-05 4896.9 0.0763817 139.876 0.0813216
27 -0.0112172 0.00343019 11.0049 0.000636239 0.554568 9.74628e-05 4896.76 0.0816483 141.553 0.142331
28 -0.135807 0.0153997 11.0049 0.000636239 0.547645 8.84032e-05 4897.08 0.0740587 142.903 0.156039
29 -0.150149 0.0142591 11.0049 0.000636239 0.549552 8.17333e-05 4896.84 0.0684711 143.024 0.046538
30 0.00955569 0.0585875 11.0049 0.000636239 0.55466 8.28655e-05 4896.93 0.0694196 141.743 0.107561
31 0.142149 0.0499447 11.0049 0.000636239 0.529799 8.52311e-05 4896.45 0.0714013 144.654 0.107218
32 0.0142646 0.0284965 11.0049 0.000636239 0.5307 8.49439e-05 4897.23 0.0711607 145.3 0.0409245
33 0.0555441 0.00491129 11.0049 0.000636239 0.53051 8.81325e-05 4896.83 0.0738319 144.868 0.142885
34 0.0271431 0.00994585 11.0049 0.000636239 0.5181 8.60406e-05 4896.78 0.0720795 146.876 0.0809018
35 -0.056123 0.00121628 11.0049 0.000636239 0.518892 7.96459e-05 4897.19 0.0667224 147.885 0.160871
36 -0.000485706 0.0309781 11.0049 0.000636239 0.517775 9.32892e-05 4896.84 0.0781519 146.941 0.127436
37 -0.00614271 0.0600291 11.0049 0.000636239 0.507534 9.73224e-05 4896.84 0.0815307 148.954 0.126815
38 -0.0266507 0.017594 11.0049 0.000636239 0.503676 7.39372e-05 4896.99 0.06194 150.291 0.131365
39 0.0643298 0.046165 11.0049 0.000636239 0.509761 8.10522e-05 4896.85 0.0679005 149.27 0.068181
40 -0.00451292 0.0449944 11.0049 0.000636239 0.490217 6.96096e-05 4896.91 0.0583146 152.579 0.116068
41 -0.0190319 0.000606973 11.0049 0.000636239 0.49218 7.10371e-05 4896.77 0.0595104 152.651 0.158061
42 0.0660233 0.044453 11.0049 0.000636239 0.470726 7.24264e-05 4900.89 0.0606744 145.371 7.19734e-10
43 -0.059571 0.0703523 11.0049 0.000636239 0.475398 7.01586e-05 4902.04 0.0587745 134.548 12.0099
44 -0.0958013 0.00533095 11.0049 0.000636239 0.458987 7.05867e-05 4896.64 0.0591331 161.811 0.177193
45 -0.0158031 0.0291869 11.0049 0.000636239 0.46993 7.6079e-05 4896.99 0.0637342 158.222 0.24176
46 -0.120844 0.00228337 11.0049 0.000636239 0.447527 9.07649e-05 4896.5 0.0760372 164.166 0.0829442
47 -0.977986 0.230406 11.0049 0.000636239 0.679971 0.000152336 4897.32 0.127618 130.988 0.121952
48 -0.234934 0.0678416 11.0049 0.000636239 0.6379 0.000131727 4896.82 0.110353 132.943 0.101909
49 -0.089613 0.0257033 11.0049 0.000636239 0.629001 0.000123647 4898.43 0.103584 132.839 1.10639
50 -0.258645 0.0269665 11.0049 0.000636239 0.631929 0.000122969 4897.22 0.103015 133.32 0.166925
51 -0.250182 0.021056 11.0049 0.000636239 0.639796 0.00012952 4896.88 0.108504 132.543 0.0268009
52 -10.233 3.55356 11.0049 0.000636239 0.966009 0.000158379 4893.24 0.13268 125.099 0.089117
53 -0.395466 0.0584819 11.0049 0.000636239 0.631056 0.000127503 4896.67 0.106814 133.813 0.0874517
54 -0.228386 0.0839398 11.0049 0.000636239 0.613861 0.000114272 4896.73 0.0957301 135.075 0.066769
55 -3.91 3.55083 11.0049 0.000636239 0.722128 0.00010252 4899.83 0.0858851 125.657 9.59291
56 -0.111517 0.00562985 11.0049 0.000636239 0.606752 0.000118405 4900.86 0.0991925 128.389 2.67005e-10
